language,red_cross,red_crescent
English,red cross,red crescent
Russian,красный крест,красный полумесяц
German,rotes kreuz,
Spanish,cruz roja,
French,Croix Rouge,
Japanese,赤十字,
Portuguese,Cruz Vermelha,
Italian,Croce Rossa,
Persian,صلیب سرخ,هلال احمر
Polish,czerwony Krzyz,
Chinese,红十字,
Dutch,rode Kruis,
Turkish,Kızıl Haç,Kızılay
Czech,Červený kříž,
Korean,국제 적십자사,
Vietnamese,chữ thập đỏ,lưỡi liềm đỏ
Arabic,الصليب الاحمر,الهلال الأحمر
Greek,Ερυθρός Σταυρός,
Hungarian,Vöröskereszt,
Swedish,röda Korset,
Romanian,Crucea Rosie,
Slovak,Červený kríž,
Danish,røde Kors,
Indonesian,Palang Merah,
Finnish,Punainen Risti,
Thai,กากบาทสีแดง,เสี้ยวสีแดง
Bulgarian,Червен кръст,
Ukrainian,Червоний Хрест,
Hebrew,צלב אדום,
Croatian,Crveni križ,
Lithuanian,Raudonasis Kryžius,
Serbian,Црвени крст,
Norwegian,røde Kors,
Slovenian,rdeči križ,
Catalan,Creu Roja,
Latvian,Sarkanais Krusts,
Estonian,punane Rist,
Hindi,रेड क्रॉस,लाल अर्धचन्द्रमा
Azerbaijani,Qırmızı Xaç,qırmızı ayı
