country,count
Afghanistan,74
Albania,16
Algeria,24
American Samoa,10
Andorra,1
Angola,22
Anguilla,11
Antigua and Barbuda,16
Argentina,39
Armenia,7
Aruba (The Netherlands),5
Australia,10
Austria,3
Azerbaijan,12
Bahamas,28
Bahrain,1
Bangladesh,100
Barbados,16
Belarus,9
Belgium,1
Belize,32
Benin,29
Bermuda,6
Bhutan,5
Bolivia,44
Bolivia (Plurinational State of),12
"Bonaire, Saint Eustatius and Saba (The Netherlands)",3
Bosnia and Herzegovina,14
Botswana,18
Brazil,45
British Virgin Islands,16
Brunei Darussalam,2
Bulgaria,7
Burkina Faso,22
Burundi,23
CAR,24
Cabo Verde,7
Cambodia,24
Cameroon,30
Canada,2
Cayman Islands,22
Central African Republic,3
Chad,25
Channel Islands,1
Chile,39
China,167
China - Hong Kong (Special Administrative Region),12
China - Macau (Special Administrative Region),1
China - Taiwan Province,30
Colombia,96
Comoros,11
Congo,10
Cook Islands,13
Costa Rica,58
Croatia,7
Cuba,59
Cura�ao (The Netherlands),1
Cyprus,4
Czechia,8
C�te d'Ivoire,14
DPRK,24
DR Congo,31
Democratic People's Republic of Korea,6
Democratic Republic of the Congo,13
Denmark,1
Djibouti,12
Dominica,16
Dominican Rep.,12
Dominican Republic,39
Ecuador,52
Egypt,11
El Salvador,56
Equatorial Guinea,1
Eritrea,4
Estonia,1
Eswatini,12
Ethiopia,45
Fiji,40
Finland,1
France,1
French Guiana (France),2
French Polynesia (France),4
Gabon,7
Gambia,17
Georgia,16
Germany,4
Ghana,24
Greece,9
Grenada,12
Guadeloupe (France),9
Guam,5
Guatemala,74
Guinea,20
Guinea-Bissau,4
Guyana,12
Haiti,75
Honduras,63
Hungary,15
Iceland,3
India,113
Indonesia,139
Iran,54
Iran (Islamic Republic of),9
Iraq,12
Ireland,1
Isle of Man (The United Kingdom of Great Britain and Northern Ireland),1
Israel,5
Italy,4
Jamaica,38
Japan,13
Jordan,6
Kazakhstan,14
Kenya,42
Kiribati,7
Kuwait,1
Kyrgyzstan,22
Lao PDR,10
Lao People's Democratic Republic (the),14
Latvia,1
Lebanon,9
Lesotho,8
Liberia,11
Libya,3
Liechtenstein,1
Lithuania,2
Luxembourg,1
Madagascar,56
Madeira (Portugal),1
Malawi,28
Malaysia,18
Maldives,7
Mali,25
Malta,1
Marshall Islands,8
Martinique (France),9
Mauritania,18
Mauritius,8
Mexico,100
Micronesia,5
Micronesia (Federated States of),8
Moldova,14
Monaco,1
Mongolia,21
Montenegro,14
Montserrat,11
Morocco,16
Mozambique,40
Myanmar,51
Namibia,19
Nauru,3
Nepal,38
Netherlands,1
Netherlands Antilles (The Netherlands),6
New Caledonia (France),8
New Zealand,5
Nicaragua,56
Niger,34
Nigeria,36
Niue (New Zealand),4
North Macedonia,11
Northern Mariana Islands (The United States of America),2
Norway,1
Oman,6
PNG,43
Pakistan,71
Palau,7
Panama,39
Papua New Guinea,5
Paraguay,40
Peru,67
Philippines,204
Poland,7
Portugal,3
Puerto Rico (The United States of America),18
Qatar,1
Republic of Korea,16
Romania,26
Russia,30
Russian Federation,6
Rwanda,21
R�union (France),3
Saint Barth�lemy (France),3
Saint Kitts and Nevis,17
Saint Lucia,22
Saint Martin (France),2
Saint Vincent and the Grenadines,16
Samoa,13
Sao Tome and Principe,2
Saudi Arabia,4
Senegal,21
Serbia,24
Seychelles,6
Sierra Leone,13
Singapore,1
Sint Maarten (The Netherlands),2
Slovakia,9
Slovenia,3
Solomon Islands,27
Somalia,46
South Africa,14
South Sudan,19
Spain,4
Sri Lanka,60
St. Vincent & Grenadines,7
Sudan,42
Suriname,5
Sweden,1
Switzerland,2
Syria,5
Syrian Arab Republic,5
Tajikistan,41
Tanzania,25
Thailand,50
Timor-Leste,9
Togo,14
Tokelau,3
Tonga,20
Trinidad and Tobago,10
Tunisia,12
Turkey,30
Turkmenistan,3
Turks and Caicos Islands,13
Tuvalu,5
UK,1
USA,7
Uganda,31
Ukraine,17
United Arab Emirates,1
United Kingdom of Great Britain and Northern Ireland,1
United Republic of Tanzania,11
United States Virgin Islands,15
United States of America,22
Uruguay,16
Uzbekistan,6
Vanuatu,41
Venezuela,13
Venezuela (Bolivarian Republic of),13
Viet Nam,98
Wallis and Futuna (France),5
Western Sahara,1
World,2
Yemen,31
Zambia,21
Zimbabwe,27
oPt,6
occupied Palestinian territory,6
the Republic of North Macedonia,4
